Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Debye_huckel Total   
64       0.82     331.24   203.78   -872.35  -87.59   0.00     0.00     0.00     0.00     -32.65   0.00     0.00     -6.11    -794.91 
65       0.86     328.50   232.94   -868.54  -88.42   0.00     0.00     0.00     0.00     -36.96   0.00     0.00     -6.53    -767.51 
66       0.87     324.55   220.99   -875.68  -88.70   0.00     0.00     0.00     0.00     -36.54   0.00     0.00     -6.30    -786.23 
67       0.86     320.34   208.02   -881.51  -88.13   0.00     0.00     0.00     0.00     -34.55   0.00     0.00     -6.37    -802.56 
68       0.89     318.80   232.17   -871.58  -89.21   0.00     0.00     0.00     0.00     -36.05   0.00     0.00     -6.38    -771.05 
69       0.86     322.01   216.88   -875.42  -87.97   0.00     0.00     0.00     0.00     -31.70   0.00     0.00     -6.61    -784.84 
70       0.84     311.97   232.77   -879.00  -87.78   0.00     0.00     0.00     0.00     -33.01   0.00     0.00     -6.35    -773.38 
71       0.86     315.01   209.73   -870.25  -88.91   0.00     0.00     0.00     0.00     -36.79   0.00     0.00     -6.31    -792.54 
72       0.83     320.18   217.87   -881.06  -88.38   0.00     0.00     0.00     0.00     -32.20   0.00     0.00     -6.11    -789.88 
73       0.81     319.09   208.42   -871.15  -88.47   0.00     0.00     0.00     0.00     -31.81   0.00     0.00     -5.51    -788.51 
74       0.88     314.13   211.62   -872.15  -88.76   0.00     0.00     0.00     0.00     -37.05   0.00     0.00     -6.52    -792.86 
75       0.84     320.17   217.33   -879.84  -87.55   0.00     0.00     0.00     0.00     -33.43   0.00     0.00     -6.45    -789.95 
76       0.90     315.55   200.32   -873.62  -87.97   0.00     0.00     0.00     0.00     -38.25   0.00     0.00     -6.45    -805.98 
77       0.87     309.39   223.87   -877.05  -87.95   0.00     0.00     0.00     0.00     -37.30   0.00     0.00     -6.42    -784.86 
78       0.92     311.62   207.85   -878.47  -89.42   0.00     0.00     0.00     0.00     -39.01   0.00     0.00     -6.64    -805.68 
79       0.89     314.51   219.04   -874.28  -87.23   0.00     0.00     0.00     0.00     -38.88   0.00     0.00     -6.36    -787.70 
80       0.86     323.40   210.82   -875.25  -88.32   0.00     0.00     0.00     0.00     -33.07   0.00     0.00     -6.16    -791.98 
81       0.87     319.09   208.75   -878.42  -88.11   0.00     0.00     0.00     0.00     -36.69   0.00     0.00     -6.03    -800.50 
