#"Step","Potential Energy (kJ/mole)","Temperature (K)"
9280000,-3355.9682972518203,276.26645540197194
9320000,-3273.573338896036,294.96159649046353
9360000,-3303.0563396811485,314.6407936108611
9400000,-3267.086625754833,318.7590588680679
9440000,-3268.4355043172836,288.83589328903025
9480000,-3259.1604182720184,302.1216153141288
9520000,-3313.0334157943726,298.7865229703091
9560000,-3252.99289316684,318.1567318640705
9600000,-3314.718663888052,316.3038195169322
9640000,-3330.5016672416823,288.8153945840998
9680000,-3310.197461128235,311.6638772487184
9720000,-3284.9855591654778,292.79479875098036
9760000,-3198.1557097434998,299.5606029853865
9800000,-3324.109175682068,300.6755116861284
9840000,-3232.663288936019,314.22507243971165
9880000,-3285.229941755533,310.543246246517
9920000,-3364.2164722681046,309.4126428674226
9960000,-3302.635100364685,302.5515056787784
10000000,-3296.634380340576,284.67681491377436
10040000,-3282.6840890944004,302.31344931872474
10080000,-3287.9255695343018,309.7696814878045
10120000,-3369.0248463135213,301.1577248140775
10160000,-3339.0446553230286,291.13130820544086
10200000,-3166.1951207220554,310.086793028887
10240000,-3312.559983059764,296.6379467352282
10280000,-3154.0635793805122,278.1408831680193
10320000,-3354.8371536694467,310.2854547114622
10360000,-3276.2869501262903,286.9574214434029
10400000,-3309.6498483866453,312.36989870994745
10440000,-3255.7785988748074,300.66165770712115
10480000,-3325.4840448733885,285.3589091616129
10520000,-3205.675105512142,287.08970169243236
10560000,-3193.611057341099,290.84720049692896
10600000,-3325.1664519906044,298.79246735542773
10640000,-3314.919842004776,295.5236991865832
10680000,-3263.6689333319664,318.6418278787599
10720000,-3300.8315258026123,300.58639130388167
10760000,-3256.945262365043,323.95323956520474
10800000,-3246.645228127949,290.9943484768396
10840000,-3375.897235006094,299.42703157379543
10880000,-3379.7964976280928,301.06725809012613
10920000,-3343.5376408845186,288.51731675220987
10960000,-3285.8948221318424,281.45886575621506
11000000,-3292.82603931427,318.4355439908692
11040000,-3281.247961845249,307.6243835289384
11080000,-3299.322504878044,307.3194166782704
11120000,-3274.9786047935486,268.79159455307
11160000,-3156.8780917365802,300.0152966460101
11200000,-3301.200085543096,303.44550688863507
11240000,-3326.278201069683,298.8245236127334
11280000,-3245.581823825836,299.0991038364565
11320000,-3294.192078370601,272.05977013504753
11360000,-3240.0230993777514,298.73951741564946
11400000,-3295.080886363983,299.384603761957
11440000,-3374.9009680747986,310.22776840789214
11480000,-3282.415347099304,272.00378824863077
11520000,-3252.9878243971034,293.37886038468076
11560000,-3226.1028878092766,278.78682781500925
11600000,-3258.905027627945,322.02023592808246
11640000,-3285.8018924649805,300.6768520518882
11680000,-3258.612788369879,300.34554025986563
11720000,-3249.3024987205863,299.1332276730431
11760000,-3176.2934926748276,300.1752594650501
11800000,-3270.0742752552032,291.8269936527558
11840000,-3191.832691302523,285.43022874616537
11880000,-3318.167654988356,301.83300093842024
11920000,-3268.6450257338583,298.24665675008845
11960000,-3257.2454199790955,302.52706679488267
12000000,-3264.312888085842,303.73251252770837
12040000,-3322.0264691263437,321.7114104776117
12080000,-3313.165030479431,303.59304128922224
12120000,-3323.974023781717,302.23050021227
12160000,-3157.8008741140366,302.7064364770381
12200000,-3177.0774614810944,298.3190001144274
12240000,-3337.405529551208,302.90932949847837
12280000,-3263.9694385528564,298.0072686114011
12320000,-3256.0713703483343,296.6746211073913
12360000,-3251.3907500728965,291.86994421163314
12400000,-3283.2378747634057,306.91439902846133
12440000,-3294.4797059819102,315.9399525758422
12480000,-3308.6624779701233,301.19447439216844
12520000,-3235.990224480629,290.2292333062736
12560000,-3322.4288908606395,290.1718677266671
12600000,-3313.8678371999413,294.9239079424145
12640000,-3414.864690631628,307.3047429117976
12680000,-3387.8465573117137,290.0834793804519
12720000,-3345.9004106000066,280.52692516176074
12760000,-3308.5908925533295,286.78959443330547
12800000,-3393.573869228363,297.31462584975696
12840000,-3385.202444434166,296.7909034266905
12880000,-3405.481975823641,311.79352721083563
12920000,-3243.682707235217,288.79766174593897
12960000,-3255.862633265555,272.07035190993486
13000000,-3350.913770666113,305.6657425332677
13040000,-3387.3899250226095,324.86059919137995
13080000,-3363.868524737656,295.50926834538956
13120000,-3285.6710210107267,305.31705057900047
13160000,-3361.265324207023,318.72492507092255
13200000,-3392.308430045843,307.5632613167715
13240000,-3286.9957060813904,320.90569202060243
13280000,-3332.7691982463,300.41336227582383
13320000,-3271.4879769238178,305.62334195751515
13360000,-3319.783640742302,286.7688066320407
13400000,-3283.9115431904793,301.4298763775279
13440000,-3342.873080134392,281.37770785574907
13480000,-3355.7741922102286,287.46796116581805
13520000,-3285.244047936052,300.0482539365912
13560000,-3388.4118012865074,287.94479350139693
13600000,-3369.4144320115447,301.9922001972706
13640000,-3393.0761232078075,324.5107065183083
13680000,-3302.7674976587296,289.66070254932254
13720000,-3362.9437314271927,315.81294561092847
13760000,-3391.215392075479,301.9837490936628
